name,type,address_1,address_2,city,state,zip,address_full,phone,email_1,email_2,email,website,abbreviation,name_short,lon,lat,coordinates,state_full,warden
FCI Yazoo City Medium - Federal Correctional Institution,Federal Prison,P.O. BOX 5666,,Yazoo City,MS,39194,"P.O. BOX 5666, Yazoo City, MS 39194",(662) 716-1020,YAZ/PUBLICINFORMATION@BOP.GOV ,YAZ,PUBLICINFORMATION@BOP.GOV ,http://www.bop.gov/locations/institutions/yam/index.jsp,yam,yazoo,-90.439683,32.884567,"'-90.439683,32.884567'",,
FDC Honolulu - Federal Detention Center,Federal Prison,P.O. BOX 30547,,HONOLULU,HI,96820,"P.O. BOX 30547, HONOLULU, HI 96820",(808) 838-4200,HON/EXECASSISTANT@BOP.GOV ,HON,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/hon/index.jsp,hon,honolulu,-157.928392,21.333418,"'-157.928392,21.333418'",,
FDC Seatac - Federal Detention Center,Federal Prison,P.O. BOX 13901,,Seattle,WA,98198,"P.O. BOX 13901, Seattle, WA 98198",(206) 870-5700,SET/EXECASSISTANT@BOP.GOV ,SET,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/set/index.jsp,set,seatac,-122.301297,47.421321,"'-122.301297,47.421321'",,
FMC Devens - Federal Medical Center,Federal Prison,P.O. BOX 880,,Ayer,MA,1432,"P.O. BOX 880, Ayer, MA 1432",(978) 796-1000,DEV/EXECASSISTANT@BOP.GOV ,DEV,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/dev/index.jsp,dev,devens,-71.620582,42.525194,"'-71.620582,42.525194'",,
FPC Duluth - Federal Prison Camp,Federal Prison,P.O. BOX 1400,,Duluth,MN,55814,"P.O. BOX 1400, Duluth, MN 55814",(218) 722-8634,DTH/EXECASSISTANT@BOP.GOV ,DTH,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/dth/index.jsp,dth,duluth,-92.196908,46.835609,"'-92.196908,46.835609'",,
FPC Yankton - Federal Prison Camp,Federal Prison,P.O. BOX 680,,Yankton,SD,57078,"P.O. BOX 680, Yankton, SD 57078",(605) 665-3262,YAN/EXECASSISTANT@BOP.GOV ,YAN,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/yan/index.jsp,yan,yankton,-97.389685,42.880037,"'-97.389685,42.880037'",,
MCFP Springfield - Medical Center/Federal Prisoners,Federal Prison,P.O. BOX 4000,,Springfield ,MO,65801,"P.O. BOX 4000, Springfield , MO 65801",(417) 862-7041, SPG/EXECASSISTANT@BOP.GOV , SPG,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/spg/index.jsp,spg,springfield,-93.325168,37.177938,"'-93.325168,37.177938'",,
"United States Penitentiary, Marion",Federal Prison,P.O. BOX 2000,,Marion,IL,62959,"P.O. BOX 2000, Marion, IL 62959",(618) 964-1441,MAR/EXECASSISTANT@BOP.GOV ,MAR,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mar/index.jsp,mar,marion,-88.982807,37.663631,"'-88.982807,37.663631'",,
UPS Beaumont - U.S. Penitentiary,Federal Prison,P.O. BOX 26035,,Beaumont,TX,77720,"P.O. BOX 26035, Beaumont, TX 77720",(409) 727-8188,BMP/EXECASSISTANT@BOP.GOV ,BMP,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/bmp/index.jsp,bmp,beaumont,-94.079083,29.959945,"'-94.079083,29.959945'",,
USP  Hazelton - U.S. Penitentiary,Federal Prison,P.O. BOX 450,,Bruceton Mills,WV,26525,"P.O. BOX 450, Bruceton Mills, WV 26525",(304)379-5000,HAZ/EXECASSISTANT@BOP.GOV ,HAZ,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/haz/index.jsp,haz,hazelton,-79.495272,39.673707,"'-79.495272,39.673707'",,
USP Atlanta - U.S. Penitentiary,Federal Prison,601 McDonough Blvd. SE,,Atlanta,GA,30315,"601 McDonough Blvd. SE, Atlanta, GA 30315",(404) 635-5100,ATL/PUBLICINFORMATION@BOP.GOV ,ATL,PUBLICINFORMATION@BOP.GOV ,http://www.bop.gov/locations/institutions/atl/index.jsp,atl,atlanta,-84.368798,33.710575,"'-84.368798,33.710575'",,
USP Canaan - U.S. Penitentiary,Federal Prison,P.O. BOX 400,,Waymart,PA,18472,"P.O. BOX 400, Waymart, PA 18472",(570) 488-8000,CAA/EXECASSISTANT@BOP.GOV ,CAA,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/caa/index.jsp,caa,canaan,-75.421959,41.561643,"'-75.421959,41.561643'",,
USP Coleman I - U.S. Penitentiary,Federal Prison,P.O. BOX 1023,,Coleman,FL,33521,"P.O. BOX 1023, Coleman, FL 33521",(352) 689-6000,COA/PUBLICINFORMATION@BOP.GOV ,COA,PUBLICINFORMATION@BOP.GOV ,http://www.bop.gov/locations/institutions/cop/index.jsp,cop,coleman,-81.9984,28.764275,"'-81.9984,28.764275'",,
USP Leavenworth - U.S. Penitentiary,Federal Prison,P.O. BOX 1000,,Leavenworth  ,KS,66048,"P.O. BOX 1000, Leavenworth  , KS 66048",(913) 682-8700,LVN/EXECASSISTANT@BOP.GOV ,LVN,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/lvn/index.jsp,lvn,leavenworth,-94.935839,39.331379,"'-94.935839,39.331379'",,
USP Lee - U.S. Penitentiary,Federal Prison,P.O. BOX 900,,Jonesville,VA,24263,"P.O. BOX 900, Jonesville, VA 24263",(276) 546-0150,LEE/EXECASSISTANT@BOP.GOV,LEE,EXECASSISTANT@BOP.GOV,http://www.bop.gov/locations/institutions/lee/index.jsp,lee,lee,-83.002122,36.702661,"'-83.002122,36.702661'",,
USP McCreary - U.S. Penitentiary,Federal Prison,330 Federal Way,,Pine Knot,KY,42635,"330 Federal Way, Pine Knot, KY 42635",(606) 354-7000,MCR/EXECASSISTANT@BOP.GOV ,MCR,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/mcr/index.jsp,mcr,mc-creary,-84.387486,36.688549,"'-84.387486,36.688549'",,
USP POLLOCK U.S. PENITENTIARY,Federal Prison,1000 Airbase Road,,POLLOCK,LA,71467,"1000 Airbase Road, POLLOCK, LA 71467",(318) 561-5300,POL/EXECASSISTANT@BOP.GOV ,POL,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/pol/index.jsp,pol,pollock,-92.4413797,31.469546,"'-92.4413797,31.469546'",,
USP Terra Haute - U.S. Penitentiary,Federal Prison,4700 Bureau Road South,,Terre Haute,IN,47802,"4700 Bureau Road South, Terre Haute, IN 47802",(812) 244-4400,THA/EXECASSISTANT@BOP.GOV ,THA,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/DataSource/execute/dsFacilityAddressLoc?start=y&facilityCode=thp,thp,terra-haute,-87.45529,39.407485,"'-87.45529,39.407485'",,
USP Tucson - U.S. Penitentiary,Federal Prison,South Wilmot Road,,Tucson,AZ,85706,"South Wilmot Road, Tucson, AZ 85706", (623) 465-9757 ,TCP/EXECASSISTANT@BOP.GOV ,TCP,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/tcp/index.jsp,tcp,tucson,-110.866596,32.083857,"'-110.866596,32.083857'",,
USP Victorville - U.S. Penitentiary,Federal Prison,530-5000 Air Expressway Blvd,,Victorville,CA,92394,"530-5000 Air Expressway Blvd, Victorville, CA 92394", (760) 530-5000,VIM/EXECASSISTANT@BOP.GOV ,VIM,EXECASSISTANT@BOP.GOV ,http://www.bop.gov/locations/institutions/vip/index.jsp,vip,victorville,-117.359004,34.568315,"'-117.359004,34.568315'",,
