name,type,address_1,address_2,city,state,zip,address_full,phone,email_1,email_2,email,website,abbreviation,name_short,lon,lat,coordinates,state_full,warden
Polk Correctional Institution,State Prison,Box 2500,,Butner,NC,27509,"Box 2500 , Butner, NC 27509",(919) 575-3070,,,,"https://ncdps.gov/index2.cfm?a=000003,002240,002371,002381,002258",,,-78.785897,36.136659,'-78.78589736.136659',NORTH CAROLINA,Kenneth lassiter
James River Correctional Center,State Prison,2521 Circle Drive,,Jamestown,ND,58401,"2521 Circle Drive , Jamestown, ND 58401",(701) 253-3660,,,,http://nd.gov/docr/adult/james.html,,,-98.685297,46.884001,'-98.68529746.884001',NORTH DAKOTA,Don Redmann
Ohio State Penitentiary,State Prison,878 Coitsville-Hubbard Road,,Youngstown,OH,44505,"878 Coitsville-Hubbard Road , Youngstown, OH 44505",(330) 743-0700,,,,http://drc.state.oh.us/Public/osp.htm,,,-80.57697,41.110554,'-80.5769741.110554',OHIO,Jay Forshey
Oklahoma State Penitentiary,State Prison,P.O. Box 97,,McAlester,OK,74502-0097,"P.O. Box 97 , McAlester, OK 74502-0097",(918) 423-4700,,,,http://ok.gov/doc/Organization/Field_Operations/Division_III_-_Med_Max_Security_Institutions/Oklahoma_State_Penitentiary.html,,,-95.762455,34.932602,'-95.76245534.932602',OKLAHOMA,Anita Trammell
Oregon State Penitentiary,State Prison,2605 State Street ,,Salem,OR,97310,"2605 State Street  , Salem, OR 97310",(503) 378-2453 ,,,,http://oregon.gov/doc/OPS/PRISON/pages/osp.aspx,,,-123.00731,44.932091,'-123.0073144.932091',OREGON,​Jeff Premo
SCI Pittsburgh ,State Prison,3001 Beaver Avenue,,Pittsburgh,PA,15233,"3001 Beaver Avenue , Pittsburgh, PA 15233",(412) 761-1955,,,,http://portal.state.pa.us/portal/server.pt/community/hide_pittsburgh/11400,,,-80.040094,40.469775,'-80.04009440.469775',PENNSYLVANIA,Mark V. Capozza
Maximum Security ,State Prison,PO Box 8273,Main Control Center,Cranston,RI,2920,"PO Box 8273 Main Control Center, Cranston, RI 2920",(401) 462-2054,,,,http://doc.ri.gov/institutions/facilities/max_sec.php,,,-71.548257,41.735073,'-71.54825741.735073',RHODE ISLAND,"James Weeden,"
Evans Correctional Institution,State Prison,610 Highway 9 West,,Bennettsville,SC,29512,"610 Highway 9 West , Bennettsville, SC 29512",(843) 479-4181,,,,http://doc.sc.gov/institutions/evans.jsp,,,-79.712665,34.65305,'-79.71266534.65305',SOUTH CAROLINA,Willie L. Eagleton
South Dakota State Penitentiary,State Prison,600 North Drive,PO Box 5911,Sioux Falls,SD,57117,"600 North Drive PO Box 5911, Sioux Falls, SD 57117",  (605) 367-5051,,,,http://doc.sd.gov/adult/facilities/sdsp.aspx,,,-96.721667,43.570162,'-96.72166743.570162',SOUTH DAKOTA,Darin Young
West Tennessee State Penitentiary,State Prison,480 Green Chapel Road,P.O. Box 1150,Henning,TN,38041-1150,"480 Green Chapel Road P.O. Box 1150, Henning, TN 38041-1150",(731) 738-5044,,,,http://tennessee.gov/correction/institutions/wtsp.html,,,-89.746835,35.670393,'-89.74683535.670393',TENNESSEE,Jerry Lester
Hutchins State Jail,State Prison,1500 East Langdon Road,,Dallas,TX,75241,"1500 East Langdon Road , Dallas, TX 75241",(972) 225-1304,,,,http://tdcj.state.tx.us/unit_directory/hj.html,,,-96.712605,32.661719,'-96.71260532.661719',TEXAS,Jeff Pringle
Central Utah Correctional Facility - Gunnison,State Prison,255 E. 300 North,P.O. Box 550,Gunnison,UT,84634,"255 E. 300 North P.O. Box 550, Gunnison, UT 84634",(435) 528-6000,,,,http://corrections.utah.gov/index.php/prisons-visitation/gunnison-prison/boulders.html,,,-111.810428,39.165684,'-111.81042839.165684',UTAH,
Northern State Correctional Facility (NSCF) - Newport,State Prison,2559 Glen Road,,Newport,VT,5855,"2559 Glen Road , Newport, VT 5855",(802) 334-3364,,,,http://doc.state.vt.us/custody-supervision/facilities/nscf/,,,-72.1904,44.907219,'-72.190444.907219',VERMONT,Carl Davis
Sussex I State Prison,State Prison,24414 Musselwhite Drive,,Waverly,VA,23891-1111,"24414 Musselwhite Drive , Waverly, VA 23891-1111",(804) 834-9967,,,,http://vadoc.virginia.gov/facilities/eastern/sussex1/,,,-77.204436,37.046999,'-77.20443637.046999',VIRGINIA,Keith W. Davis
Washington State Penitentiary,State Prison,1313 North 13th Avenue,,Walla Walla,WA,99362,"1313 North 13th Avenue , Walla Walla, WA 99362",(509) 525-3610,,,,http://doc.wa.gov/facilities/prison/wsp/default.asp,,,-118.35667,46.077961,'-118.3566746.077961',WASHINGTON,Stephen D. Sinclair
Northern Correctional Facility,State Prison,112 Northern Regional Correctional Drive,,"Moundsville,",WV,26041,"112 Northern Regional Correctional Drive , Moundsville,, WV 26041",(304) 843-4067,,,,http://wvdoc.com/wvdoc/PrisonsandFacilities/NorthernCorrectionalFacility/tabid/53/Default.aspx,,,-80.729138,39.909094,'-80.72913839.909094',WEST VIRGINIA,Evelyn Seifert
Milwaukee Secure Detention Facility,State Prison,1015 N. 10th St.,P.O. Box 05740,Milwaukee,WI,53205-0740,"1015 N. 10th St. P.O. Box 05740, Milwaukee, WI 53205-0740",(414) 212-3535,,,,http://doc.wi.gov/families-visitors/find-facility/milwaukee-secure-detention-facility,,,-87.924834,43.043657,'-87.92483443.043657',WISCONSIN,Floyd Mitchell
Wyoming Medium Correctional Institution,State Prison,7076 Road 55F,,Torrington,WY,82240,"7076 Road 55F , Torrington, WY 82240",(307) 532.6600,,,,http://doc.state.wy.us/institutions/wmci/index.html,,,-104.1152,42.072638,'-104.115242.072638',WYOMING,Steven Hargett
